time,ref,tau,err,theta_m,dtheta_m,ddtheta_m,tau_s,tau_m
0,0,0,0,0,0,NaN,0,0
0.001,0,-6.25187383908098e-07,6.25187383908098e-07,0,0,0,-6.25187383908098e-07,0
0.002,0,-4.97505390596865e-06,4.97505390596865e-06,1.5622911737633e-11,3.12325389011069e-08,3.12325389011069e-05,-4.97505390596865e-06,0
0.003,0,-1.66955419248888e-05,1.66955419248888e-05,1.71151094631021e-10,2.79692118956802e-07,0.000248459580055695,-1.66955419248888e-05,0
0.004,0,-3.93319740192755e-05,3.93319740192755e-05,8.67810830300832e-10,1.11303981603211e-06,0.000833347697075308,-3.93319740192755e-05,0
0.005,0,-7.63123636784001e-05,7.63123636784001e-05,2.96276856511114e-09,3.07511356359622e-06,0.00196207374756411,-7.63123636784001e-05,0
0.006,0,-0.000130931298065537,0.000130931298065537,7.94222509666236e-09,6.87961868007817e-06,0.00380450511648195,-0.000130931298065537,0
0.007,0,-0.000206334473563408,0.000206334473563408,1.80878029468233e-08,1.34030293081196e-05,0.00652341062804146,-0.000206334473563408,0
0.008,0,-0.00030550396154275,0.00030550396154275,3.6635454822964e-08,2.36767353881014e-05,0.0102737060799818,-0.00030550396154275,0
0.009,0,-0.000431244278139657,0.000431244278139657,6.79261575968977e-08,3.88784735688e-05,0.0152017381806986,-0.000431244278139657,0
0.01,0,-0.000586169327803424,0.000586169327803424,1.17547696444776e-07,6.03230840462618e-05,0.0214446104774618,-0.000586169327803424,0
0.011,0,-0.000772690286004209,0.000772690286004209,1.92466887489518e-07,8.94526387000462e-05,0.0291295546537844,-0.000772690286004209,0
0.012,0,-0.000993004481790932,0.000993004481790932,3.01151634251579e-07,0.000127825989047006,0.0383733503469602,-0.000993004481790932,0
0.013,0,-0.00124908533588777,0.00124908533588777,4.53682263209014e-07,0.000177107785441024,0.0492817963940179,-0.00124908533588777,0
0.014,0,-0.0015426734047376,0.0015426734047376,6.61851636543636e-07,0.000239057021598056,0.0619492361570314,-0.0015426734047376,0
0.015,0,-0.00187526857536888,0.00187526857536888,9.39253595442703e-07,0.000315515160906256,0.0764581393082004,-0.00187526857536888,0
0.016,0,-0.00224812345020702,0.00224812345020702,1.3013593448583e-06,0.000408393903078952,0.0928787421726962,-0.00224812345020702,0
0.017,0,-0.00266223795499999,0.00266223795499999,1.76558145011165e-06,0.000519662651513331,0.111268748434379,-0.00266223795499999,0
0.018,0,-0.00311835519691189,0.00311835519691189,2.35132517686962e-06,0.000651335743220935,0.131673091707604,-0.00311835519691189,0
0.019,0,-0.00361695859358661,0.00361695859358661,3.08002696850957e-06,0.000805459504389883,0.154123761168948,-0.00361695859358661,0
