time,ref,tau,err,theta_m,dtheta_m,ddtheta_m,tau_s,tau_m
0,0,0,0,0,0,NaN,0,0
0.001,0,-6.25187383908098e-07,6.25187383908098e-07,0,0,0,-6.25187383908098e-07,1.18785602942539e-05
0.002,0,-4.94537037366715e-06,4.94537037366715e-06,3.12458234752659e-10,6.24650778022139e-07,0.000624650778022139,-4.94537037366715e-06,8.73979707173254e-05
0.003,0,-1.63882414334495e-05,1.63882414334495e-05,3.24415600902477e-09,5.23626270632605e-06,0.00461161192830391,-1.63882414334495e-05,0.000259618318566815
0.004,0,-3.7881445272488e-05,3.7881445272488e-05,1.53730982981759e-08,1.90113991454942e-05,0.0137751364391682,-3.7881445272488e-05,0.000548982588986435
0.005,0,-7.17052982453224e-05,7.17052982453224e-05,4.90334228958876e-08,4.82809575775835e-05,0.0292695584320893,-7.17052982453224e-05,0.000968965580956374
0.006,0,-0.000119397676735691,0.000119397676735691,1.23278438395125e-07,0.000100146778452678,0.0518658208750941,-0.000119397676735691,0.00152560111257146
0.007,0,-0.000181698613000213,0.000181698613000213,2.64446408578778e-07,0.000182070860306235,0.0819240818535571,-0.000181698613000213,0.00221739398952455
0.008,0,-0.000258536275007912,0.000258536275007912,5.06312320171342e-07,0.00030145845628722,0.119387595980986,-0.000258536275007912,0.00303561055045354
0.009,0,-0.000349053892390748,0.000349053892390748,8.89830015085991e-07,0.000465256047712641,0.16379759142542,-0.000349053892390748,0.0039649228525471
0.01,0,-0.000451675156267014,0.000451675156267014,1.46248941180888e-06,0.000679583869113382,0.214327821400741,-0.000451675156267014,0.00498436457277529
0.011,0,-0.000564203765883188,0.000564203765883188,2.27733208869973e-06,0.000949420391150267,0.269836522036886,-0.000564203765883188,0.00606854227485101
0.012,0,-0.000683951207500067,0.000683951207500067,3.39168437716023e-06,0.00127835309216913,0.328932701018865,-0.000683951207500067,0.00718903447996075
0.013,0,-0.000807885602711392,0.000807885602711392,4.86567959497283e-06,0.00166840614196291,0.39005304979378,-0.000807885602711392,0.00831590345236547
0.014,0,-0.000932793607475909,0.000932793607475909,6.76064960916052e-06,0.00211995148517494,0.451545343212023,-0.000932793607475909,0.00941924104394111
0.015,0,-0.00105544691154746,0.00105544691154746,9.13747023365692e-06,0.00263170546522917,0.511753980054236,-0.00105544691154746,0.0104706704039099
0.016,0,-0.00117276489059675,0.00117276489059675,1.2054944940961e-05,0.00320080879573152,0.569103330502353,-0.00117276489059675,0.0114447297174362
0.017,0,-0.00128196538805432,0.00128196538805432,1.55683071195684e-05,0.00382298358120572,0.622174785474192,-0.00128196538805432,0.0123200720644663
0.018,0,-0.00138069641772385,0.00138069641772385,1.972791296875e-05,0.0044927574116737,0.669773830467983,-0.00138069641772385,0.0130804264937178
0.019,0,-0.00146714273012294,0.00146714273012294,2.45781856031463e-05,0.00520374147798026,0.710984066306562,-0.00146714273012294,0.0137152788515133
0.02,0,-0.00154010260843818,0.00154010260843818,3.01568567103236e-05,0.00594894731420393,0.74520583622367,-0.00154010260843818,0.0142202460520694
0.021,0,-0.0015990318753582,0.0015990318753582,3.64945359506489e-05,0.00672112526668594,0.772177952482007,-0.0015990318753582,0.0145971335210633
0.022,0,-0.00164405381384556,0.00164405381384556,4.36146210708412e-05,0.00751310716851048,0.79198190182454,-0.00164405381384556,0.0148536816611655
0.023,0,-0.00167593544414439,0.00167593544414439,5.15335443101791e-05,0.00831813597032108,0.805028801810604,-0.00167593544414439,0.0150030225693047
0.024,0,-0.00169603226859256,0.00169603226859256,6.02613339855973e-05,0.00913016620499666,0.812030234675579,-0.00169603226859256,0.0150628821322363
0.025,0,-0.00170620511361382,0.00170620511361382,6.98024549638193e-05,0.0099441210651139,0.813954860117239,-0.00170620511361382,0.0150545743858451
0.026,0,-0.00170871399291772,0.00170871399291772,8.01568787821274e-05,0.0107560944319429,0.811973366828982,-0.00170871399291772,0.0150018441156637
0.027,0,-0.00170609492886914,0.00170609492886914,9.13213240500052e-05,0.0115634892669076,0.807394834964745,-0.00170609492886914,0.0149296197203067
0.028,0,-0.00170102635733408,0.00170102635733408,0.000103290600880423,0.0123650871933524,0.801597926444737,-0.00170102635733408,0.0148627411377219
0.029,0,-0.00169619207959211,0.00169619207959211,0.000116058989716674,0.0131610476778327,0.795960484480294,-0.00169619207959211,0.0148247270973276
0.03,0,-0.00169414770585624,0.00169414770585624,0.00012962158511114,0.0139528387824814,0.791791104648754,-0.00169414770585624,0.014836642227332
0.031,0,-0.00169719716934108,0.00169719716934108,0.000143975538668356,0.0147431048257707,0.790266043289331,-0.00169719716934108,0.0149161178903631
0.032,0,-0.00170728520547975,0.00170728520547975,0.000159121142208108,0.0155354792953957,0.792374469624958,-0.00170728520547975,0.0150765714550609
0.033,0,-0.00172591073078048,0.00172591073078048,0.000175062701805391,0.0163343538636796,0.798874568283893,-0.00172591073078048,0.0153266575636352
0.034,0,-0.00175406487550855,0.00175406487550855,0.000191809165167069,0.0171446162513172,0.810262387637622,-0.00175406487550855,0.0156699724372181
0.035,0,-0.00179219608892643,0.00179219608892643,0.000209374478159598,0.0179713708915213,0.826754640204076,-0.00179219608892643,0.0161050190355246
0.036,0,-0.00184020331623677,0.00184020331623677,0.000227777660498036,0.0188196568223985,0.848285930877212,-0.00184020331623677,0.016625427635274
0.037,0,-0.001897456815913,0.001897456815913,0.000247042604911129,0.019694176976977,0.874520154578522,-0.001897456815913,0.0172204137760945
0.038,0,-0.00196284481656063,0.00196284481656063,0.00026719761779267,0.0205990520808549,0.904875103877881,-0.00196284481656063,0.0178754441562083
0.039,0,-0.00203484297059962,0.00203484297059962,0.000288274731767844,0.0215376107741801,0.938558693325152,-0.00203484297059962,0.0185730714767804
0.04,0,-0.00211160250644681,0.00211160250644681,0.000310308831159336,0.0225122254446758,0.974614670495743,-0.00211160250644681,0.019293891863309
0.041,0,-0.00219105215913791,0.00219105215913791,0.000333336639555389,0.0235242007129146,1.01197526823876,-0.00219105215913791,0.0200175736422911
0.042,0,-0.0022710084060962,0.0022710084060962,0.000357395624214286,0.0245737186886679,1.04951797575334,-0.0022710084060962,0.0207239040946779
0.043,0,-0.00234928827028967,0.00234928827028967,0.000382522874684358,0.0256598421665995,1.08612347793163,-0.00234928827028967,0.0213938013780141
0.044,0,-0.00242381898259084,0.00242381898259084,0.000408754012722896,0.0267805740018095,1.12073183520993,-0.00242381898259084,0.0220102420030579
0.045,0,-0.00249273910919658,0.00249273910919658,0.000436122187456882,0.0279329681464769,1.15239414466744,-0.00249273910919658,0.0225590598363357
0.046,0,-0.00255448632495305,0.00255448632495305,0.000464657203978556,0.0291132853713539,1.18031722487703,-0.00255448632495305,0.0230295802324616
0.047,0,-0.00260786781344969,0.00260786781344969,0.000494384825568637,0.0303171846546459,1.20389928329198,-0.00260786781344969,0.0234150621414493
0.048,0,-0.00265211025361717,0.00265211025361717,0.000525326279951295,0.0315399396864415,1.22275503179561,-0.00265211025361717,0.0237129313804452
0.049,0,-0.00268688745644601,0.00268688745644601,0.0005574979889461,0.0327766689720607,1.23672928561921,-0.00268688745644601,0.0239247991590472
0.05,0,-0.00271232488572572,0.00271232488572572,0.000590911529179385,0.0340225676550192,1.24589868295843,-0.00271232488572572,0.024056270842594
0.051,0,-0.00272898147307088,0.00272898147307088,0.000625573819753706,0.0352731294213194,1.25056176630026,-0.00272898147307088,0.0241165602840917
0.052,0,-0.00273781026099481,0.00273781026099481,0.000661487521539193,0.0365243476628157,1.25121824149623,-0.00273781026099481,0.0241179343508634
0.053,0,-0.00274010042371392,0.00274010042371392,0.000698651622591276,0.0377728864118517,1.24853874903609,-0.00274010042371392,0.0240750200808483
0.054,0,-0.00273740407590679,0.00273740407590679,0.000737062175593913,0.0390162133312859,1.24332691943413,-0.00273740407590679,0.0240040128764407
0.055,0,-0.00273145194607626,0.00273145194607626,0.000776713146563115,0.0402526891527922,1.23647582150629,-0.00273145194607626,0.0239218280327906
0.056,0,-0.00272406243550793,0.00272406243550793,0.000817597329602164,0.04148161028731,1.22892113451783,-0.00272406243550793,0.0238452395656278
0.057,0,-0.00271704878998527,0.00271704878998527,0.00085970728043819,0.0427032037620844,1.22159347477438,-0.00271704878998527,0.0237900497285821
0.058,0,-0.00271212907566211,0.00271212907566211,0.000903036221827357,0.0439185760446874,1.21537228260304,-0.00271212907566211,0.0237703298822064
0.059,0,-0.00271084338125298,0.00271084338125298,0.000947578876608321,0.0451296195761676,1.2110435314802,-0.00271084338125298,0.0237977686919825
0.06,0,-0.00271448218585688,0.00271448218585688,0.000993332189012028,0.04633888284397,1.20926326780239,-0.00271448218585688,0.023881157278488
0.061,0,-0.00272402916529693,0.00272402916529693,0.00104029590150024,0.0475494114870927,1.21052864312273,-0.00272402916529693,0.0240260332831965
0.062,0,-0.0027401208981869,0.0027401208981869,0.00108847296252191,0.0487645691675832,1.2151576804905,-0.0027401208981869,0.0242344972666646
0.063,0,-0.00276302502059927,0.00276302502059927,0.00113786974969977,0.0499878477134316,1.22327854584833,-0.00276302502059927,0.0245052058739451
0.064,0,-0.00279263741356211,0.00279263741356211,0.00118849610260616,0.0512226763126205,1.23482859918891,-0.00279263741356211,0.024833537245457
0.065,0,-0.00282849804031512,0.00282849804031512,0.00124036516895982,0.052472239316456,1.24956300383555,-0.00282849804031512,0.0252119156675712
